,0,1,2,3
83,Local Government  Budget Framework Papers,2023/24,Albertong District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Albertong%20District_0.pdf
84,Local Government  Budget Framework Papers,2023/24,Amodat District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Amodat%20District_0.pdf
85,Local Government  Budget Framework Papers,2023/24,Amolatar District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Amolatar%20District_5.pdf
86,Local Government  Budget Framework Papers,2023/24,Amuria district.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Amuria%20district.pdf
87,Local Government  Budget Framework Papers,2023/24,Amuru District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Amuru%20District_5.pdf
88,Local Government  Budget Framework Papers,2023/24,Apac District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Apac%20District_3.pdf
89,Local Government  Budget Framework Papers,2023/24,Arua District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Arua%20District_4.pdf
90,Local Government  Budget Framework Papers,2023/24,Buasia District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Buasia%20District.pdf
91,Local Government  Budget Framework Papers,2023/24,Budaka District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Budaka%20District_4.pdf
92,Local Government  Budget Framework Papers,2023/24,Bududa District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Bududa%20District_5.pdf
93,Local Government  Budget Framework Papers,2023/24,Bugiri District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Bugiri%20District_4.pdf
94,Local Government  Budget Framework Papers,2023/24,Bugweri District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Bugweri%20District_5.pdf
95,Local Government  Budget Framework Papers,2023/24,Buhweju District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Buhweju%20District_4.pdf
96,Local Government  Budget Framework Papers,2023/24,Buikwe District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Buikwe%20District_5.pdf
97,Local Government  Budget Framework Papers,2023/24,Bukedea District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Bukedea%20District_3.pdf
98,Local Government  Budget Framework Papers,2023/24,Bukomansimbi District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Bukomansimbi%20District_3.pdf
99,Local Government  Budget Framework Papers,2023/24,Bukwo District.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Bukwo%20District_4.pdf
100,Local Government Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_626_KwaniaDistrict_168_01062021141607.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/2020-2021_QuarterlyReport_Q3_626_KwaniaDistrict_168_01062021141607.pdf
101,Local Government Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_629_ObongiDistrict_172_28052021153041.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/2020-2021_QuarterlyReport_Q3_629_ObongiDistrict_172_28052021153041.pdf
102,Local Government Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_633_Madi_OkolloDistrict_176_04062021125842.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/2020-2021_QuarterlyReport_Q3_633_Madi_OkolloDistrict_176_04062021125842.pdf
103,Local Government Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_770_KaseseMunicipalCouncil_125_02062021154852.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/2020-2021_QuarterlyReport_Q3_770_KaseseMunicipalCouncil_125_02062021154852.pdf
104,Local Government Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_630_KazoDistrict_173_31052021184354.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/2020-2021_QuarterlyReport_Q3_630_KazoDistrict_173_31052021184354.pdf
105,Local Government Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_777_Bushenyi_IshakaMunicipalCouncil_132_04062021112854.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/2020-2021_QuarterlyReport_Q3_777_Bushenyi_IshakaMunicipalCouncil_132_04062021112854.pdf
106,Local Government Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_781_KiraMunicipalCouncil_141_04062021100656.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/2020-2021_QuarterlyReport_Q3_781_KiraMunicipalCouncil_141_04062021100656.pdf
107,Local Government Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_783_MityanaMunicipalCouncil_143_01062021025402.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/2020-2021_QuarterlyReport_Q3_783_MityanaMunicipalCouncil_143_01062021025402.pdf
108,Local Government Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_796_SheemaMunicipalCouncil_156_03062021003749.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/2020-2021_QuarterlyReport_Q3_796_SheemaMunicipalCouncil_156_03062021003749.pdf
109,National Budget Performance Reports,2020/21,Performance of the Economy Report -May 2021.pdf,https://budget.finance.go.ug/sites/default/files/National%20Budget%20docs/Performance%20of%20the%20Economy%20Report%20-May%202021.pdf
110,Spending Agency Budget Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_008_MinistryofFinance_Planning_EconomicDev_16062021124205.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/2020-2021_QuarterlyReport_Q3_008_MinistryofFinance_Planning_EconomicDev_16062021124205.pdf
111,Spending Agency Budget Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_011_MinistryofLocalGovernment_18062021103220.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/2020-2021_QuarterlyReport_Q3_011_MinistryofLocalGovernment_18062021103220.pdf
112,Spending Agency Budget Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_013_MinistryofEducationandSports_14062021120231.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/2020-2021_QuarterlyReport_Q3_013_MinistryofEducationandSports_14062021120231.pdf
113,Spending Agency Budget Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_016_MinistryofWorksandTransport_10062021201942.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/2020-2021_QuarterlyReport_Q3_016_MinistryofWorksandTransport_10062021201942.pdf
114,Spending Agency Budget Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_015_MinistryofTrade_IndustryandCooperatives_17062021113224.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/2020-2021_QuarterlyReport_Q3_015_MinistryofTrade_IndustryandCooperatives_17062021113224.pdf
115,Spending Agency Budget Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_018_MinistryofGender_LabourandSocialDevelopment_14062021092636.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/2020-2021_QuarterlyReport_Q3_018_MinistryofGender_LabourandSocialDevelopment_14062021092636.pdf
116,Spending Agency Budget Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_102_ElectoralCommission_15062021103551.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/2020-2021_QuarterlyReport_Q3_102_ElectoralCommission_15062021103551.pdf
117,Spending Agency Budget Performance Reports,2020/21,2020-2021_QuarterlyReport_Q3_111_BusitemaUniversity_11062021114638.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/2020-2021_QuarterlyReport_Q3_111_BusitemaUniversity_11062021114638.pdf
